model_rank,model_id,model_status,exclusion_reason,variable_1,test_type_1,test_statistic_1,p_value_1,variable_2,test_type_2,test_statistic_2,p_value_2,variable_3,test_type_3,test_statistic_3,p_value_3,variable_4,test_type_4,test_statistic_4,p_value_4,r_squared,adjusted_r_squared,RMSE,MAE,spearman,f_statistics,f_p_value,aic,aicc,bic,vif,max_vif,mean_vif,condition_number,max_cooks_distance,sign_check,sign_failures,n_observations,n_original_variables,n_parameters,price_included,demand_supply_included,market_speed_included,family_coverage,families_included,sign_rank,vif_rank
1,6937,VALID,,MEDIAN_DOM,t,-6.784408285397267,1.92499408168114e-09,SOLD_ABOVE_LIST,t,3.584810687023272,0.0005820326249224368,OFF_MARKET_IN_TWO_WEEKS,t,3.3556134406866884,0.0012192598689102128,,,,,0.7127087970286974,0.7017990045107998,8.819706987586635,6.917449698930497,0.861787202390596,65.3274382495813,2.4387978990746116e-21,604.9239120973723,605.4367326101928,614.5992745285587,1.70767296565113,1.70767296565113,1.5242214144927415,721.8570960199833,0.16479958116656773,PASS,,83,3,4,0,0,1,1,market_speed,0,0
2,4741,VALID,,MEDIAN_LIST_PPSF_MOM,t,3.271554945835089,0.0015869189991751873,MEDIAN_DOM,t,-7.236920194231118,2.624084237679027e-10,OFF_MARKET_IN_TWO_WEEKS,t,4.393286769309652,3.433533061725792e-05,,,,,0.7058300708580884,0.694659060890674,8.9246692709228,7.1495318639809815,0.8529772760730696,63.18408746541109,6.180762010191843e-21,606.8877954149518,607.4006159277724,616.5631578461382,1.6919212878887104,1.6919212878887104,1.4590598587479182,1375.1136834559757,0.20523528162724394,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
3,6940,VALID,,MEDIAN_DOM,t,-5.602348364166881,3.2320408393030256e-07,SOLD_ABOVE_LIST,t,4.534037992728117,2.1204990666281182e-05,County,joint_F,2.0984616796555193,0.0892254675967215,,,,,0.7044070604321793,0.6810707757294565,8.946229217497821,6.953926526447971,0.8444613639830649,30.18505599351017,3.044099575893373e-18,613.2883295985155,614.7816629318488,630.2202138530916,2.2082963313674284,2.2082963313674284,1.529529240756295,601.7342013212138,0.1549753521591533,PASS,,83,3,7,0,0,1,1,"market_speed, geography",0,0
4,6941,VALID,,MEDIAN_DOM,t,-5.627349527413186,2.835719679084573e-07,SOLD_ABOVE_LIST,t,4.526500682799508,2.1497217552570493e-05,PARENT_METRO_REGION,joint_F,2.7092205772895035,0.050871270987565824,,,,,0.7030992685045281,0.6838200002256014,8.965997778368576,6.969255913300214,0.8447028756699578,36.46918847397608,5.602106133340478e-19,611.6547365715443,612.759999729439,626.1677802183239,3.8599653450273705,3.8599653450273705,2.6347725314542356,559.5553287348686,0.13382641543128893,PASS,,83,3,6,0,0,1,1,"market_speed, geography",0,0
5,6916,VALID,,MEDIAN_DOM,t,-6.648146388599461,3.488856668695051e-09,AVG_SALE_TO_LIST,t,3.089299515365809,0.0027692585851703845,OFF_MARKET_IN_TWO_WEEKS,t,3.5643798733333707,0.0006224446769381436,,,,,0.7019785150464833,0.69066124346597,8.98290445249766,6.864229812794126,0.8502471439603678,62.02718650449186,1.030486235662345e-20,607.9674586198728,608.4802791326933,617.6428210510592,1.7202884113990324,1.7202884113990324,1.5099677475260862,3727.2125316336546,0.8691242427062861,PASS,,83,3,4,0,0,1,1,market_speed,0,0
6,6919,VALID,,MEDIAN_DOM,t,-6.006467076896354,6.086896236191675e-08,AVG_SALE_TO_LIST,t,4.3684807085764845,3.90661646291566e-05,County,joint_F,2.8973632839953245,0.027410713043204794,,,,,0.6998251191438423,0.6761271022341455,9.015299654772434,7.121500846356051,0.8073000657259423,29.530957033687084,5.393223231607135e-18,614.5650303945703,616.0583637279036,631.4969146491464,2.099417628982046,2.099417628982046,1.5084109765818603,4159.983647850737,0.3820139899708206,PASS,,83,3,7,0,0,1,1,"market_speed, geography",0,0
7,6939,VALID,,MEDIAN_DOM,t,-10.783472299827805,3.433646524649288e-17,SOLD_ABOVE_LIST,t,4.025110586686976,0.0001297258199696586,OFF_MARKET_IN_TWO_WEEKS_YOY,t,2.578797539565821,0.011770870275688313,,,,,0.6972459418189949,0.6857489522678175,9.053947663806118,7.283674160949244,0.8537753146906286,60.64595768442618,1.913811180951777e-20,609.2751406907953,609.7879612036159,618.9505031219817,1.1783140469285551,1.1783140469285551,1.1179753173952431,545.3322247739607,0.14076993237059449,PASS,,83,3,4,0,0,1,1,market_speed,0,0
8,4738,VALID,,MEDIAN_LIST_PPSF_MOM,t,2.297911967862955,0.024212539655969336,MEDIAN_DOM,t,-10.528991306125553,1.0544308804089135e-16,SOLD_ABOVE_LIST,t,3.8712077739131585,0.00022176757004539836,,,,,0.6923253231951505,0.6806414747088905,9.12722737419756,7.2364152263822,0.8507091663179019,59.25490423889923,3.6056643859333005e-20,610.6132827824017,611.1261032952223,620.2886452135881,1.1347217176403992,1.1347217176403992,1.0921887537166388,1360.7037924062124,0.16088672393178396,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
9,6921,VALID,,MEDIAN_DOM,t,-10.132783809582346,6.108090280142567e-16,AVG_SALE_TO_LIST_MOM,t,-2.287223598284493,0.024859031211103545,SOLD_ABOVE_LIST,t,4.546266435484313,1.9411356433192688e-05,,,,,0.6921463114941604,0.6804556650952045,9.12988219604869,7.205345239873969,0.8486300657089982,59.20513612968179,3.689004172195701e-20,610.661559912875,611.1743804256955,620.3369223440613,1.2276732515735862,1.2276732515735862,1.1512831924868907,3788.656135508523,0.08193926053251906,FAIL,AVG_SALE_TO_LIST_MOM,83,3,4,0,0,1,1,market_speed,2,0
10,6920,VALID,,MEDIAN_DOM,t,-6.132200256789639,3.462298829178466e-08,AVG_SALE_TO_LIST,t,4.071958310202379,0.00011211078267256074,PARENT_METRO_REGION,joint_F,3.0412176953744017,0.03390033627226753,,,,,0.6906993364184653,0.6706148777443397,9.151313196535526,7.204476208027967,0.8091481551560789,34.38974122355998,2.6381990113168384e-18,615.0507628762599,616.1560260341546,629.5638065230395,3.690856791524171,3.690856791524171,2.5337617474620653,3966.387971103738,0.32033826023409057,PASS,,83,3,6,0,0,1,1,"market_speed, geography",0,0
11,6484,VALID,,NEW_LISTINGS_MOM,t,2.073010613169928,0.04143145011109681,MEDIAN_DOM,t,-10.444733401867246,1.5305217743320482e-16,SOLD_ABOVE_LIST,t,4.193497449896183,7.119097729097131e-05,,,,,0.6886943283389655,0.6768725939720908,9.180926481555986,7.422312860265662,0.8469289833926225,58.25662351784286,5.716723492625605e-20,611.5870650057875,612.0998855186081,621.2624274369739,1.1350823480395202,1.1350823480395202,1.0945917404985834,490.9119182408441,0.13292980719695405,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
12,2539,VALID,,MEDIAN_LIST_PRICE_MOM,t,2.052603688122825,0.04342212757854434,MEDIAN_DOM,t,-10.191907559798803,4.696354668222394e-16,SOLD_ABOVE_LIST,t,3.940510125701666,0.00017445343633940122,,,,,0.6883793642082678,0.6765456691782021,9.185569717689917,7.281748743002243,0.8423297608335324,58.17112596355641,5.94838155695337e-20,611.6709979678823,612.1838184807028,621.3463603990687,1.1314650249628606,1.1314650249628606,1.0898592922479249,1021.7612110403824,0.23509490595279783,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
13,6481,VALID,,NEW_LISTINGS_MOM,t,2.8234921112454527,0.006009346337182661,MEDIAN_DOM,t,-10.590197418766646,8.046707777322127e-17,AVG_SALE_TO_LIST,t,4.084595036760014,0.00010511044410631761,,,,,0.6857613026503537,0.6738281875611267,9.224075010698137,7.361909884380879,0.8165300123684998,57.4670819415328,8.262703483519028e-20,612.3654044113072,612.8782249241277,622.0407668424936,1.2148715568100885,1.2148715568100885,1.1432985207200457,3877.4354139799852,0.41895582668902975,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
14,5269,VALID,,HOMES_SOLD,t,1.8289484587906737,0.0711810228193139,MEDIAN_DOM,t,-9.302659711947994,2.4973897623519404e-14,SOLD_ABOVE_LIST,t,4.004368842946836,0.00013954434027476653,,,,,0.6850940782248621,0.673135625499224,9.233862577730989,7.326176913545974,0.8314617349233536,57.28952515370696,8.98057550916111e-20,612.541451845854,613.0542723586746,622.2168142770404,1.2309760992572145,1.2309760992572145,1.1545364809486944,692.109242567742,0.11552685941449811,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
15,6952,VALID,,MEDIAN_DOM,t,-5.574674191062885,3.61816171783388e-07,OFF_MARKET_IN_TWO_WEEKS,t,3.763152605454534,0.0003282368105442113,County,joint_F,1.0480565458347277,0.3882019686212549,,,,,0.6834372411897134,0.6584454444415329,9.25812210060268,7.154194516111713,0.828112072831231,27.34646284443192,3.8839816404132693e-17,618.9770008879977,620.4703342213311,635.9088851425739,2.2558693706737096,2.2558693706737096,1.5255884918534282,726.7846192655161,0.09876919606391688,PASS,,83,3,7,0,0,1,1,"market_speed, geography",0,0
16,490,VALID,,MEDIAN_SALE_PRICE,t,-2.084481525763859,0.04034743023563577,MEDIAN_DOM,t,-6.855386834079999,1.4107009302587033e-09,OFF_MARKET_IN_TWO_WEEKS,t,4.0243652913658865,0.0001300668329118584,,,,,0.6833892105600172,0.6713660160243217,9.25882442037361,7.267289624371423,0.8393581170339377,56.83923756960842,1.1102101792541655e-19,612.9895931457869,613.5024136586075,622.6649555769733,1.6812920333755974,1.6812920333755974,1.4580909653722767,14551475.715937618,0.09075643389995681,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
17,2077,VALID,,MEDIAN_LIST_PRICE,t,-2.0792175343997643,0.040841805451325895,MEDIAN_DOM,t,-6.641881346591234,3.5853137173827355e-09,OFF_MARKET_IN_TWO_WEEKS,t,4.124767188080058,9.109827392788866e-05,,,,,0.683305927899629,0.6712795707312604,9.260042080753243,7.215020664872523,0.8374260235387947,56.817365253116414,1.1217382145276007e-19,613.0114229508994,613.5242434637199,622.6867853820858,1.7170163919283203,1.7170163919283203,1.4891517366318607,14966750.979225678,0.09087236845056064,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
18,6953,VALID,,MEDIAN_DOM,t,-5.600475100590502,3.166056742315932e-07,OFF_MARKET_IN_TWO_WEEKS,t,3.7786344298851877,0.0003090828271941458,PARENT_METRO_REGION,joint_F,1.3695953061298267,0.2583867618259456,,,,,0.6828962892148951,0.6623051391639143,9.266029003072582,7.166850561778515,0.8274820423436845,33.16455309801242,6.7727566872030156e-18,617.1187127410669,618.2239758989616,631.6317563878465,3.6122100251275056,3.6122100251275056,2.6398821965648223,723.7613495972695,0.06943680640411852,PASS,,83,3,6,0,0,1,1,"market_speed, geography",0,0
19,5902,VALID,,PENDING_SALES,t,1.6135368808713535,0.11061559580352386,MEDIAN_DOM,t,-9.430861928991847,1.4050791694431032e-14,SOLD_ABOVE_LIST,t,3.957085885578036,0.00016466272012240207,,,,,0.6822324502278678,0.6701653280846223,9.275722890576949,7.377651549447534,0.8344333787229485,56.53646678381736,1.281185109384548e-19,613.2922870054158,613.8051075182364,622.9676494366022,1.2132436438392462,1.2132436438392462,1.1443770636547128,721.2892335682797,0.1179445235493911,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
20,4735,VALID,,MEDIAN_LIST_PPSF_MOM,t,2.6288691072538803,0.010291621171159223,MEDIAN_DOM,t,-10.617138576389983,7.144681985988242e-17,AVG_SALE_TO_LIST,t,3.449669963085674,0.0009034147232937146,,,,,0.6818798890623228,0.6697993785203857,9.280867143184656,7.249947087123355,0.8289836150056704,56.44462514189266,1.3382154584191728e-19,613.3843239532819,613.8971444661024,623.0596863844683,1.1183045011863133,1.1183045011863133,1.079290270776389,3720.347330762374,1.0377073950976203,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
21,1048,VALID,,MEDIAN_SALE_PRICE_MOM,t,1.4827938248848167,0.1421076389112975,MEDIAN_DOM,t,-10.26692546413478,3.365720785658365e-16,SOLD_ABOVE_LIST,t,4.20154897537146,6.915391910924605e-05,,,,,0.6806481898498196,0.6685209059200659,9.298816642204535,7.459853762753799,0.8368589961000029,56.125361110733394,1.557537778567221e-19,613.7050632940253,614.2178838068459,623.3804257252117,1.1724694486115828,1.1724694486115828,1.1200615419762514,506.18433505746344,0.8003846371649112,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
22,5500,VALID,,HOMES_SOLD_MOM,t,1.425150721463525,0.15805261442860868,MEDIAN_DOM,t,-10.28821968708805,3.062244362827205e-16,SOLD_ABOVE_LIST,t,4.11983078360055,9.27179172194063e-05,,,,,0.6799875703846321,0.6678351996397447,9.308429560437427,7.483353669221745,0.8318817552483848,55.95513703947099,1.6892157386393798e-19,613.8765819111543,614.3894024239748,623.5519443423407,1.1454449027188067,1.1454449027188067,1.1102183787584634,492.1733416893558,0.1677839788947672,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
23,7063,VALID,,AVG_SALE_TO_LIST,t,5.450909147663575,5.978267026760813e-07,OFF_MARKET_IN_TWO_WEEKS,t,5.377845491692297,8.025027989597917e-07,County,joint_F,8.538939012946287,9.577706131410929e-06,,,,,0.6793509113334513,0.6540365095966185,9.317684437353176,7.517203182152305,0.7983221312784035,26.836538283462048,6.250736574105469e-17,620.0415448974893,621.5348782308226,636.9734291520655,1.4405806665436027,1.4405806665436027,1.2290114590862855,92.05953515405974,0.572794370306555,PASS,,83,3,7,0,0,1,1,"market_speed, geography",0,0
24,6607,VALID,,NEW_LISTINGS_YOY,t,-1.8063633610876684,0.0746698626766578,MEDIAN_DOM,t,-6.337091427117692,1.3404086003841377e-08,OFF_MARKET_IN_TWO_WEEKS,t,4.017964743159866,0.00013303107855182271,,,,,0.6792244052021282,0.6670430535009433,9.319522315601935,7.122441307373973,0.8439993416255307,55.75936249636837,1.854862075175265e-19,614.0742845450477,614.5871050578683,623.7496469762341,1.7934077964985295,1.7934077964985295,1.523364350287807,727.9286150423358,0.32041859553766716,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
25,6073,VALID,,PENDING_SALES_MOM,t,1.3178164049495773,0.19137387325694163,MEDIAN_DOM,t,-10.256464036827136,3.525692093223449e-16,SOLD_ABOVE_LIST,t,4.176425011783172,7.570341194995818e-05,,,,,0.6788206119884963,0.6666239263678063,9.325386191161831,7.499504061537265,0.826379488990478,55.65615390110325,1.948802491689865e-19,614.1786994714801,614.6915199843006,623.8540619026664,1.1948827432821927,1.1948827432821927,1.1492785988466672,509.7214682846553,0.2779645823465164,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
26,6841,VALID,,INVENTORY_YOY,t,-1.7754356917004825,0.07967728004783002,MEDIAN_DOM,t,-6.973069285098414,8.413075386243486e-10,OFF_MARKET_IN_TWO_WEEKS,t,4.090355641765642,0.00010298086621266427,,,,,0.6787918608150092,0.6665940833776045,9.325803574415907,7.104889354703091,0.8355569330924066,55.64881506474134,1.9556652940874232e-19,614.1861290908298,614.6989496036504,623.8614915220162,1.7400810447264203,1.7400810447264203,1.4879197051057158,732.6780219686244,0.1897549260056771,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
27,3385,VALID,,MEDIAN_PPSF,t,-1.6970439025342936,0.09362510878420285,MEDIAN_DOM,t,-6.974213146460243,8.370839178143583e-10,OFF_MARKET_IN_TWO_WEEKS,t,4.0029729718447555,0.00014023011129874586,,,,,0.6777239887908499,0.6654856592512619,9.341292754416864,7.294401163748888,0.8289416129731675,55.37716455489942,2.2279307817794354e-19,614.4616089431813,614.9744294560019,624.1369713743677,1.6967987682899974,1.6967987682899974,1.4621197834679602,8115.641603597343,0.1248323204022979,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
28,3760,VALID,,MEDIAN_PPSF_MOM,t,-1.1590064579304382,0.24994491581190795,MEDIAN_DOM,t,-9.923624659958701,1.5505367723315255e-15,SOLD_ABOVE_LIST,t,4.132341539267797,8.866594025976503e-05,,,,,0.6772481843423317,0.6649917862793823,9.348185897566951,7.382899310464262,0.8441988512799207,55.25670599665201,2.360819964787876e-19,614.5840587809865,615.0968792938071,624.2594212121729,1.2419939886554856,1.2419939886554856,1.163056246508445,800.3949377038756,0.46857296846886437,FAIL,MEDIAN_PPSF_MOM,83,3,4,1,0,1,2,"price, market_speed",2,0
29,6604,VALID,,NEW_LISTINGS_YOY,t,-1.1559685406952283,0.2511780219369324,MEDIAN_DOM,t,-9.638469680336714,5.543663215925553e-15,SOLD_ABOVE_LIST,t,3.943753676913837,0.00017249470880003584,,,,,0.67721993038339,0.664962459385291,9.348595062546941,7.465939167178686,0.8423402613416582,55.249564162820626,2.3689494819185424e-19,614.5913243511222,615.1041448639428,624.2666867823086,1.1859034864971092,1.1859034864971092,1.1253768406179598,488.85058247979657,0.2608662997968395,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
30,1609,VALID,,MEDIAN_SALE_PRICE_YOY,t,-1.1488961195306564,0.2540654953068069,MEDIAN_DOM,t,-10.096160412836849,7.188868579415784e-16,SOLD_ABOVE_LIST,t,3.6847890630313613,0.00041767647959321596,,,,,0.6771544220185375,0.6648944633610137,9.34954366527172,7.6351569572469185,0.8429282897967016,55.23301023555818,2.387903288923063e-19,614.6081675305147,615.1209880433353,624.2835299617011,1.1680320110018292,1.1680320110018292,1.1148007501369734,529.7078858351721,0.15229190909120055,FAIL,MEDIAN_SALE_PRICE_YOY,83,3,4,1,0,1,2,"price, market_speed",2,0
31,6918,VALID,,MEDIAN_DOM,t,-10.711982114395608,4.703361138996764e-17,AVG_SALE_TO_LIST,t,3.2037357867186307,0.001956872460674956,OFF_MARKET_IN_TWO_WEEKS_YOY,t,2.375120405070621,0.01996778490614217,,,,,0.6771075691433792,0.6648458312627481,9.350222065627934,7.265859730096157,0.8304746871595308,55.221174660155526,2.401549970942118e-19,614.6202120085901,615.1330325214107,624.2955744397765,1.1739277677033733,1.1739277677033733,1.115765648025344,3733.134160404921,0.4250804200541912,PASS,,83,3,4,0,0,1,1,market_speed,0,0
32,6913,VALID,,MEDIAN_DOM,t,-9.897141289479995,1.7449789168978078e-15,AVG_SALE_TO_LIST,t,1.0618280904852304,0.29154902948672734,SOLD_ABOVE_LIST,t,2.334654573105932,0.022102017544950895,,,,,0.6763788776572857,0.6640894679480687,9.360766734411564,7.472739138797606,0.838350068253863,55.03753993570616,2.6238349175376565e-19,614.8073122438685,615.3201327566891,624.4826746750549,1.9393784808380472,1.9393784808380472,1.6694360491145155,4779.058048719821,0.42628998059098894,PASS,,83,3,4,0,0,1,1,market_speed,0,0
33,4441,VALID,,MEDIAN_LIST_PPSF,t,-1.5356303227657329,0.12862461746928802,MEDIAN_DOM,t,-6.8851186794369825,1.238217834954044e-09,OFF_MARKET_IN_TWO_WEEKS,t,3.957565531873168,0.0001643874036384049,,,,,0.675657044036349,0.6633402229238052,9.371200467051999,7.2675096818242935,0.8313777308583475,54.856446956775706,2.8637400313140008e-19,614.9922367399241,615.5050572527447,624.6675991711105,1.6921449898916328,1.6921449898916328,1.4622791197983407,8148.196161583544,0.13369922728807637,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
34,1051,VALID,,MEDIAN_SALE_PRICE_MOM,t,1.49265681275084,0.13951006430030025,MEDIAN_DOM,t,-7.011752017140955,7.095729341570486e-10,OFF_MARKET_IN_TWO_WEEKS,t,4.001680738271754,0.0001408678487962796,,,,,0.6751374113525996,0.6628008573533313,9.378704303839532,7.230708456400495,0.8217382643988848,54.72658016109194,3.0495384947500203e-19,615.1251053585603,615.6379258713808,624.8004677897467,1.7330467747107987,1.7330467747107987,1.4849348868728935,739.4957538770935,0.36209988985992453,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
35,5731,VALID,,HOMES_SOLD_YOY,t,0.8855158162755726,0.3785659576667343,MEDIAN_DOM,t,-10.044037769365655,9.066165974739192e-16,SOLD_ABOVE_LIST,t,4.035548163889958,0.0001250393403166576,,,,,0.6749862163667453,0.6626439207857355,9.380886531283327,7.475747361155507,0.8441883507717948,54.688871445058005,3.1057704227776403e-19,615.1637255779976,615.6765460908182,624.839088009184,1.1472264088045268,1.1472264088045268,1.0987194007261838,494.5881793418982,0.12836008881401365,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
36,7111,VALID,,SOLD_ABOVE_LIST,t,5.318443189646834,1.0183830047918232e-06,OFF_MARKET_IN_TWO_WEEKS,t,4.653924061368002,1.3528036784434289e-05,County,joint_F,7.57823584181308,3.418285224953541e-05,,,,,0.674964609176824,0.6493039204276259,9.38119835071746,7.136599032081453,0.8256234524054221,26.30344866319759,1.0345276160754826e-16,621.1692433044547,622.662576637788,638.1011275590308,1.516502176981036,1.516502176981036,1.2539382476971246,12.77596760628183,0.28043036532398097,PASS,,83,3,7,0,0,1,1,"market_speed, geography",0,0
37,6838,VALID,,INVENTORY_YOY,t,-0.7834809054832216,0.43568739276317736,MEDIAN_DOM,t,-10.12883606738137,6.216279482494484e-16,SOLD_ABOVE_LIST,t,3.9253199238211214,0.00018391365203136527,,,,,0.6742910040336509,0.661922307984296,9.390914143252996,7.5089623466969995,0.8449653883731022,54.515932911845816,3.37760308749754e-19,615.341074972886,615.8538954857065,625.0164374040723,1.138610238295323,1.138610238295323,1.0923184545085263,490.7212819261053,0.16915942638124348,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
38,4438,VALID,,MEDIAN_LIST_PPSF,t,0.7792465338528665,0.4381626355476169,MEDIAN_DOM,t,-9.877613907455615,1.9038515285406263e-15,SOLD_ABOVE_LIST,t,3.9060813385647983,0.0001966018470799493,,,,,0.6742639302174177,0.6618942060484589,9.391304434285333,7.472843861646555,0.8488505763796396,54.50921305985528,3.3886451115854283e-19,615.3479738715554,615.8607943843759,625.0233363027418,1.376564801093647,1.376564801093647,1.249903794202883,6762.858619976285,0.2404369413399741,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
39,1612,VALID,,MEDIAN_SALE_PRICE_YOY,t,-1.3890566423734907,0.16871883534916898,MEDIAN_DOM,t,-7.05103848428515,5.967644309688156e-10,OFF_MARKET_IN_TWO_WEEKS,t,3.558753314726646,0.0006340327696750052,,,,,0.6739390046661575,0.6615569415522142,9.39598723496692,7.576418348654971,0.830611193765166,54.428652031924955,3.5239408166569184e-19,615.4307260790505,615.943546591871,625.1060885102369,1.6842543261739096,1.6842543261739096,1.4562954556198457,729.1957974624598,0.23538520465290103,FAIL,MEDIAN_SALE_PRICE_YOY,83,3,4,1,0,1,2,"price, market_speed",2,0
40,5272,VALID,,HOMES_SOLD,t,1.371743255940201,0.17402662504238814,MEDIAN_DOM,t,-6.707676098459367,2.69159028554131e-09,OFF_MARKET_IN_TWO_WEEKS,t,3.5678369370165175,0.0006154246199088872,,,,,0.6737463117975426,0.6613569312328924,9.398763206862041,7.352535768388995,0.8285320931562621,54.380952161554724,3.60664715547834e-19,615.4797622542704,615.992582767091,625.1551246854568,1.7080802480538557,1.7080802480538557,1.504055378644613,1011.8724088235545,0.11682463619086002,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
41,5905,VALID,,PENDING_SALES,t,1.3571883393052204,0.17858629506887094,MEDIAN_DOM,t,-6.701997522494231,2.759099113430166e-09,OFF_MARKET_IN_TWO_WEEKS,t,3.6264450004790616,0.000507254912084079,,,,,0.673586016431948,0.6611905487015157,9.401071829309597,7.3365922928098275,0.8297606526069781,54.341314993561234,3.6768864139579165e-19,615.520531902247,616.0333524150675,625.1958943334333,1.7096095637125435,1.7096095637125435,1.4932729419106678,1056.016144943524,0.12087841487487319,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
42,7112,VALID,,SOLD_ABOVE_LIST,t,5.315909679876831,1.004323146605434e-06,OFF_MARKET_IN_TWO_WEEKS,t,4.671955660604555,1.2437763929786842e-05,PARENT_METRO_REGION,joint_F,10.080352503708726,1.1191101122440613e-05,,,,,0.6735378488946315,0.6523390079137634,9.40176544201732,7.037094903701248,0.8251194280153848,31.77239026900094,2.034337675442286e-17,619.5327789592068,620.6380421171015,634.0458226059864,3.5801579857660926,3.5801579857660926,2.395947425769474,14.04090219116547,0.16535210474147444,PASS,,83,3,6,0,0,1,1,"market_speed, geography",0,0
43,3757,VALID,,MEDIAN_PPSF_MOM,t,-2.137885061735883,0.035617485947177174,MEDIAN_DOM,t,-9.600116870108598,6.581904594756729e-15,AVG_SALE_TO_LIST,t,3.9773920093131223,0.00015338537480507822,,,,,0.6729709090059007,0.6605520827656185,9.409925536070356,7.461856780331401,0.8224522989514377,54.18957444005639,3.9589992964137795e-19,615.6767932000682,616.1896137128888,625.3521556312546,1.6215504105487932,1.6215504105487932,1.4181181631862039,4511.12299856384,0.7108330643289059,FAIL,MEDIAN_PPSF_MOM,83,3,4,1,0,1,2,"price, market_speed",2,0
44,2542,VALID,,MEDIAN_LIST_PRICE_MOM,t,1.2965855546906644,0.19854838981746856,MEDIAN_DOM,t,-7.134914342669073,4.120968082399308e-10,OFF_MARKET_IN_TWO_WEEKS,t,3.3262624308261084,0.0013374233592076874,,,,,0.6729353577057802,0.6605151814161263,9.410436998207414,7.394881497798747,0.8284165875668786,54.18082175422418,3.9759337895930975e-19,615.6858156314499,616.1986361442705,625.3611780626363,1.7634886118791737,1.7634886118791737,1.5023168152278064,1081.0779316331964,0.13296195420076415,PASS,,83,3,4,1,0,1,2,"price, market_speed",0,0
45,6364,VALID,,NEW_LISTINGS,t,0.5250686347618885,0.6010059956036862,MEDIAN_DOM,t,-9.938903150751424,1.4484048118012845e-15,SOLD_ABOVE_LIST,t,3.950268070632858,0.00016862425284658411,,,,,0.6729017137900468,0.6604802598833397,9.410920993979033,7.576783811984269,0.8317032466102466,54.17254041627989,3.9920247057728705e-19,615.6943530917267,616.2071736045473,625.3697155229131,1.1449343721702527,1.1449343721702527,1.0963026726827374,878.7305503067751,0.10630471023779105,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
46,6487,VALID,,NEW_LISTINGS_MOM,t,1.289024776622252,0.201151212918355,MEDIAN_DOM,t,-7.153876644676056,3.789632574880679e-10,OFF_MARKET_IN_TWO_WEEKS,t,3.592960597783655,0.0005666172234561555,,,,,0.6728560899777585,0.6604329035212176,9.411577290786648,7.446880964449288,0.8310837166308259,54.1613129877399,4.013946656575278e-19,615.7059291607968,616.2187496736174,625.3812915919832,1.6928197163603358,1.6928197163603358,1.4642720972754677,726.0960727561318,0.2706128926841244,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
47,6682,VALID,,INVENTORY,t,-0.48622355207550105,0.6281547410030768,MEDIAN_DOM,t,-9.955781445941787,1.3434025035289212e-15,SOLD_ABOVE_LIST,t,3.904405654351317,0.00019774582313807995,,,,,0.6727395454162177,0.6603119332168336,9.413253572146505,7.536654096161934,0.8410276978259361,54.132647094472084,4.070479422180207e-19,615.7354925293602,616.2483130421807,625.4108549605465,1.1425597739780369,1.1425597739780369,1.0994340007672094,876.0381491193082,0.09962401319930195,PASS,,83,3,4,0,1,1,2,"demand_supply, market_speed",0,0
48,6760,VALID,,INVENTORY_MOM,t,0.4345612314767101,0.665065638389321,MEDIAN_DOM,t,-9.615166370234402,6.15308728813309e-15,SOLD_ABOVE_LIST,t,3.9627997944478315,0.00016141148396300005,,,,,0.672542955348176,0.66010787770317,9.416080486160151,7.611440805783844,0.8417522328866147,54.084339040558746,4.167602873007151e-19,615.7853368550637,616.2981573678843,625.4606992862501,1.209305010510133,1.209305010510133,1.140262285323313,497.2169019012417,0.28392976327844127,FAIL,INVENTORY_MOM,83,3,4,0,1,1,2,"demand_supply, market_speed",2,0
